antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'item_F_Copiers', 'item_E_Copiers'})","frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.15633074935400518,0.0103359173126615,1.0,6.396694214876033,0.008720095613912092,inf,0.8524804177545692
"frozenset({'item_E_Copiers', 'item_B_Copiers'})","frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_B_Copiers'})","frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
frozenset({'item_C_Copiers'}),"frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.15633074935400518,0.0103359173126615,0.0103359173126615,0.06611570247933884,6.396694214876033,0.008720095613912092,1.0597287965059112,1.0
frozenset({'item_A_Copiers'}),"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.24289405684754523,0.0103359173126615,0.0103359173126615,0.0425531914893617,4.117021276595745,0.00782538442534837,1.033649153028998,1.0000000000000002
frozenset({'item_E_Copiers'}),"frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers', 'item_B_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
frozenset({'item_F_Copiers'}),"frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
frozenset({'item_B_Copiers'}),"frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.24289405684754523,0.0103359173126615,0.0103359173126615,0.0425531914893617,4.117021276595745,0.00782538442534837,1.033649153028998,1.0000000000000002
"frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",frozenset({'item_B_Copiers'}),0.0103359173126615,0.24289405684754523,0.0103359173126615,1.0,4.117021276595745,0.00782538442534837,inf,0.7650130548302873
"frozenset({'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",frozenset({'item_F_Copiers'}),0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",frozenset({'item_D_Copiers'}),0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers', 'item_B_Copiers'})",frozenset({'item_E_Copiers'}),0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",frozenset({'item_A_Copiers'}),0.0103359173126615,0.24289405684754523,0.0103359173126615,1.0,4.117021276595745,0.00782538442534837,inf,0.7650130548302873
"frozenset({'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers'})","frozenset({'item_F_Copiers', 'item_B_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_E_Copiers'})","frozenset({'item_D_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_A_Copiers', 'item_E_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_F_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers'})","frozenset({'item_E_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_D_Copiers', 'item_A_Copiers', 'item_B_Copiers'})","frozenset({'item_F_Copiers', 'item_E_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
"frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_E_Copiers'})","frozenset({'item_A_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.24289405684754523,0.0103359173126615,1.0,4.117021276595745,0.00782538442534837,inf,0.7650130548302873
"frozenset({'item_D_Copiers', 'item_E_Copiers', 'item_B_Copiers'})","frozenset({'item_F_Copiers', 'item_A_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_E_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_A_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_B_Copiers'})","frozenset({'item_A_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_A_Copiers', 'item_E_Copiers'})","frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_B_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_D_Copiers', 'item_A_Copiers'})","frozenset({'item_F_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
"frozenset({'item_F_Copiers', 'item_A_Copiers'})","frozenset({'item_D_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_A_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_E_Copiers'})",0.24289405684754523,0.0103359173126615,0.0103359173126615,0.0425531914893617,4.117021276595745,0.00782538442534837,1.033649153028998,1.0000000000000002
"frozenset({'item_D_Copiers', 'item_E_Copiers'})","frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_B_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_E_Copiers'})","frozenset({'item_D_Copiers', 'item_A_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_E_Copiers', 'item_B_Copiers'})","frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_D_Copiers', 'item_F_Copiers'})","frozenset({'item_A_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_D_Copiers', 'item_B_Copiers'})","frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
"frozenset({'item_F_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
frozenset({'item_A_Copiers'}),"frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.24289405684754523,0.0103359173126615,0.0103359173126615,0.0425531914893617,4.117021276595745,0.00782538442534837,1.033649153028998,1.0000000000000002
frozenset({'item_E_Copiers'}),"frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers', 'item_B_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
frozenset({'item_D_Copiers'}),"frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
frozenset({'item_F_Copiers'}),"frozenset({'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
frozenset({'item_B_Copiers'}),"frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.24289405684754523,0.0103359173126615,0.0103359173126615,0.0425531914893617,4.117021276595745,0.00782538442534837,1.033649153028998,1.0000000000000002
"frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers', 'item_D_Copiers'})",frozenset({'item_F_Copiers'}),0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",frozenset({'item_D_Copiers'}),0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers', 'item_D_Copiers'})",frozenset({'item_E_Copiers'}),0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_E_Copiers', 'item_D_Copiers'})",frozenset({'item_A_Copiers'}),0.0103359173126615,0.24289405684754523,0.0103359173126615,1.0,4.117021276595745,0.00782538442534837,inf,0.7650130548302873
"frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",frozenset({'item_C_Copiers'}),0.0103359173126615,0.15633074935400518,0.0103359173126615,1.0,6.396694214876033,0.008720095613912092,inf,0.8524804177545692
"frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers'})","frozenset({'item_D_Copiers', 'item_F_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_D_Copiers'})","frozenset({'item_F_Copiers', 'item_E_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
"frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers'})","frozenset({'item_D_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_C_Copiers', 'item_E_Copiers', 'item_D_Copiers'})","frozenset({'item_F_Copiers', 'item_A_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_E_Copiers'})","frozenset({'item_D_Copiers', 'item_A_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_D_Copiers'})","frozenset({'item_A_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers'})","frozenset({'item_C_Copiers', 'item_F_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_E_Copiers'})","frozenset({'item_C_Copiers', 'item_D_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers'})","frozenset({'item_C_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_E_Copiers'})","frozenset({'item_C_Copiers', 'item_A_Copiers'})",0.0103359173126615,0.15633074935400518,0.0103359173126615,1.0,6.396694214876033,0.008720095613912092,inf,0.8524804177545692
"frozenset({'item_C_Copiers', 'item_A_Copiers'})","frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_E_Copiers'})",0.15633074935400518,0.0103359173126615,0.0103359173126615,0.06611570247933884,6.396694214876033,0.008720095613912092,1.0597287965059112,1.0
"frozenset({'item_C_Copiers', 'item_E_Copiers'})","frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_C_Copiers', 'item_D_Copiers'})","frozenset({'item_F_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
"frozenset({'item_C_Copiers', 'item_F_Copiers'})","frozenset({'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_A_Copiers', 'item_E_Copiers'})","frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_D_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_D_Copiers', 'item_A_Copiers'})","frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_E_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
"frozenset({'item_F_Copiers', 'item_A_Copiers'})","frozenset({'item_C_Copiers', 'item_E_Copiers', 'item_D_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_D_Copiers', 'item_E_Copiers'})","frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_F_Copiers', 'item_E_Copiers'})","frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_D_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_D_Copiers', 'item_F_Copiers'})","frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
frozenset({'item_C_Copiers'}),"frozenset({'item_F_Copiers', 'item_D_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.15633074935400518,0.0103359173126615,0.0103359173126615,0.06611570247933884,6.396694214876033,0.008720095613912092,1.0597287965059112,1.0
frozenset({'item_A_Copiers'}),"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_E_Copiers', 'item_D_Copiers'})",0.24289405684754523,0.0103359173126615,0.0103359173126615,0.0425531914893617,4.117021276595745,0.00782538442534837,1.033649153028998,1.0000000000000002
frozenset({'item_E_Copiers'}),"frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers', 'item_D_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
frozenset({'item_D_Copiers'}),"frozenset({'item_F_Copiers', 'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
frozenset({'item_F_Copiers'}),"frozenset({'item_C_Copiers', 'item_A_Copiers', 'item_E_Copiers', 'item_D_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_E_Phones', 'item_B_Phones', 'item_A_Phones', 'item_D_Phones'})",frozenset({'item_C_Phones'}),0.0103359173126615,0.1330749354005168,0.0103359173126615,1.0,7.514563106796117,0.008960465783973987,inf,0.8759791122715405
"frozenset({'item_E_Phones', 'item_B_Phones', 'item_D_Phones', 'item_C_Phones'})",frozenset({'item_A_Phones'}),0.0103359173126615,0.2971576227390181,0.0103359173126615,1.0,3.365217391304348,0.007264520695203948,inf,0.7101827676240209
"frozenset({'item_E_Phones', 'item_B_Phones', 'item_A_Phones', 'item_C_Phones'})",frozenset({'item_D_Phones'}),0.0103359173126615,0.04392764857881137,0.0103359173126615,1.0,22.764705882352942,0.009881884769211252,inf,0.9660574412532638
"frozenset({'item_E_Phones', 'item_D_Phones', 'item_A_Phones', 'item_C_Phones'})",frozenset({'item_B_Phones'}),0.0103359173126615,0.2971576227390181,0.0103359173126615,1.0,3.365217391304348,0.007264520695203948,inf,0.7101827676240209
"frozenset({'item_B_Phones', 'item_D_Phones', 'item_A_Phones', 'item_C_Phones'})",frozenset({'item_E_Phones'}),0.04392764857881137,0.0103359173126615,0.0103359173126615,0.23529411764705885,22.764705882352942,0.009881884769211252,1.2941761081295966,1.0
"frozenset({'item_E_Phones', 'item_B_Phones', 'item_D_Phones'})","frozenset({'item_A_Phones', 'item_C_Phones'})",0.0103359173126615,0.1330749354005168,0.0103359173126615,1.0,7.514563106796117,0.008960465783973987,inf,0.8759791122715405
"frozenset({'item_E_Phones', 'item_B_Phones', 'item_A_Phones'})","frozenset({'item_D_Phones', 'item_C_Phones'})",0.0103359173126615,0.04392764857881137,0.0103359173126615,1.0,22.764705882352942,0.009881884769211252,inf,0.9660574412532638
"frozenset({'item_E_Phones', 'item_B_Phones', 'item_C_Phones'})","frozenset({'item_D_Phones', 'item_A_Phones'})",0.0103359173126615,0.04392764857881137,0.0103359173126615,1.0,22.764705882352942,0.009881884769211252,inf,0.9660574412532638
"frozenset({'item_E_Phones', 'item_D_Phones', 'item_A_Phones'})","frozenset({'item_B_Phones', 'item_C_Phones'})",0.0103359173126615,0.1330749354005168,0.0103359173126615,1.0,7.514563106796117,0.008960465783973987,inf,0.8759791122715405
"frozenset({'item_E_Phones', 'item_D_Phones', 'item_C_Phones'})","frozenset({'item_B_Phones', 'item_A_Phones'})",0.0103359173126615,0.2971576227390181,0.0103359173126615,1.0,3.365217391304348,0.007264520695203948,inf,0.7101827676240209
"frozenset({'item_E_Phones', 'item_A_Phones', 'item_C_Phones'})","frozenset({'item_B_Phones', 'item_D_Phones'})",0.0103359173126615,0.04392764857881137,0.0103359173126615,1.0,22.764705882352942,0.009881884769211252,inf,0.9660574412532638
"frozenset({'item_B_Phones', 'item_D_Phones', 'item_A_Phones'})","frozenset({'item_E_Phones', 'item_C_Phones'})",0.04392764857881137,0.0103359173126615,0.0103359173126615,0.23529411764705885,22.764705882352942,0.009881884769211252,1.2941761081295966,1.0
"frozenset({'item_B_Phones', 'item_D_Phones', 'item_C_Phones'})","frozenset({'item_E_Phones', 'item_A_Phones'})",0.04392764857881137,0.0103359173126615,0.0103359173126615,0.23529411764705885,22.764705882352942,0.009881884769211252,1.2941761081295966,1.0
"frozenset({'item_B_Phones', 'item_A_Phones', 'item_C_Phones'})","frozenset({'item_E_Phones', 'item_D_Phones'})",0.1330749354005168,0.0103359173126615,0.0103359173126615,0.07766990291262137,7.514563106796117,0.008960465783973987,1.0730042159662723,1.0
"frozenset({'item_D_Phones', 'item_A_Phones', 'item_C_Phones'})","frozenset({'item_E_Phones', 'item_B_Phones'})",0.04392764857881137,0.0103359173126615,0.0103359173126615,0.23529411764705885,22.764705882352942,0.009881884769211252,1.2941761081295966,1.0
"frozenset({'item_E_Phones', 'item_B_Phones'})","frozenset({'item_D_Phones', 'item_A_Phones', 'item_C_Phones'})",0.0103359173126615,0.04392764857881137,0.0103359173126615,1.0,22.764705882352942,0.009881884769211252,inf,0.9660574412532638
"frozenset({'item_E_Phones', 'item_D_Phones'})","frozenset({'item_B_Phones', 'item_A_Phones', 'item_C_Phones'})",0.0103359173126615,0.1330749354005168,0.0103359173126615,1.0,7.514563106796117,0.008960465783973987,inf,0.8759791122715405
"frozenset({'item_E_Phones', 'item_A_Phones'})","frozenset({'item_B_Phones', 'item_D_Phones', 'item_C_Phones'})",0.0103359173126615,0.04392764857881137,0.0103359173126615,1.0,22.764705882352942,0.009881884769211252,inf,0.9660574412532638
"frozenset({'item_E_Phones', 'item_C_Phones'})","frozenset({'item_B_Phones', 'item_D_Phones', 'item_A_Phones'})",0.0103359173126615,0.04392764857881137,0.0103359173126615,1.0,22.764705882352942,0.009881884769211252,inf,0.9660574412532638
"frozenset({'item_B_Phones', 'item_D_Phones'})","frozenset({'item_E_Phones', 'item_A_Phones', 'item_C_Phones'})",0.04392764857881137,0.0103359173126615,0.0103359173126615,0.23529411764705885,22.764705882352942,0.009881884769211252,1.2941761081295966,1.0
"frozenset({'item_B_Phones', 'item_A_Phones'})","frozenset({'item_E_Phones', 'item_D_Phones', 'item_C_Phones'})",0.2971576227390181,0.0103359173126615,0.0103359173126615,0.034782608695652174,3.365217391304348,0.007264520695203948,1.02532765323463,1.0
"frozenset({'item_B_Phones', 'item_C_Phones'})","frozenset({'item_E_Phones', 'item_D_Phones', 'item_A_Phones'})",0.1330749354005168,0.0103359173126615,0.0103359173126615,0.07766990291262137,7.514563106796117,0.008960465783973987,1.0730042159662723,1.0
"frozenset({'item_D_Phones', 'item_A_Phones'})","frozenset({'item_E_Phones', 'item_B_Phones', 'item_C_Phones'})",0.04392764857881137,0.0103359173126615,0.0103359173126615,0.23529411764705885,22.764705882352942,0.009881884769211252,1.2941761081295966,1.0
"frozenset({'item_D_Phones', 'item_C_Phones'})","frozenset({'item_E_Phones', 'item_B_Phones', 'item_A_Phones'})",0.04392764857881137,0.0103359173126615,0.0103359173126615,0.23529411764705885,22.764705882352942,0.009881884769211252,1.2941761081295966,1.0
"frozenset({'item_A_Phones', 'item_C_Phones'})","frozenset({'item_E_Phones', 'item_B_Phones', 'item_D_Phones'})",0.1330749354005168,0.0103359173126615,0.0103359173126615,0.07766990291262137,7.514563106796117,0.008960465783973987,1.0730042159662723,1.0
frozenset({'item_E_Phones'}),"frozenset({'item_B_Phones', 'item_D_Phones', 'item_A_Phones', 'item_C_Phones'})",0.0103359173126615,0.04392764857881137,0.0103359173126615,1.0,22.764705882352942,0.009881884769211252,inf,0.9660574412532638
frozenset({'item_B_Phones'}),"frozenset({'item_E_Phones', 'item_D_Phones', 'item_A_Phones', 'item_C_Phones'})",0.2971576227390181,0.0103359173126615,0.0103359173126615,0.034782608695652174,3.365217391304348,0.007264520695203948,1.02532765323463,1.0
frozenset({'item_D_Phones'}),"frozenset({'item_E_Phones', 'item_B_Phones', 'item_A_Phones', 'item_C_Phones'})",0.04392764857881137,0.0103359173126615,0.0103359173126615,0.23529411764705885,22.764705882352942,0.009881884769211252,1.2941761081295966,1.0
frozenset({'item_A_Phones'}),"frozenset({'item_E_Phones', 'item_B_Phones', 'item_D_Phones', 'item_C_Phones'})",0.2971576227390181,0.0103359173126615,0.0103359173126615,0.034782608695652174,3.365217391304348,0.007264520695203948,1.02532765323463,1.0
frozenset({'item_C_Phones'}),"frozenset({'item_E_Phones', 'item_B_Phones', 'item_A_Phones', 'item_D_Phones'})",0.1330749354005168,0.0103359173126615,0.0103359173126615,0.07766990291262137,7.514563106796117,0.008960465783973987,1.0730042159662723,1.0
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_E_Copiers', 'item_D_Copiers'})",frozenset({'item_B_Copiers'}),0.0103359173126615,0.24289405684754523,0.0103359173126615,1.0,4.117021276595745,0.00782538442534837,inf,0.7650130548302873
"frozenset({'item_C_Copiers', 'item_E_Copiers', 'item_D_Copiers', 'item_B_Copiers'})",frozenset({'item_F_Copiers'}),0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",frozenset({'item_D_Copiers'}),0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_B_Copiers', 'item_D_Copiers'})",frozenset({'item_E_Copiers'}),0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_E_Copiers', 'item_B_Copiers'})",frozenset({'item_C_Copiers'}),0.0103359173126615,0.15633074935400518,0.0103359173126615,1.0,6.396694214876033,0.008720095613912092,inf,0.8524804177545692
"frozenset({'item_C_Copiers', 'item_E_Copiers', 'item_D_Copiers'})","frozenset({'item_F_Copiers', 'item_B_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_E_Copiers'})","frozenset({'item_D_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_C_Copiers', 'item_E_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_F_Copiers'})",0.03875968992248062,0.0103359173126615,0.0103359173126615,0.26666666666666666,25.799999999999997,0.00993530036255834,1.3495419309372796,1.0
"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_D_Copiers'})","frozenset({'item_E_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.03875968992248062,0.0103359173126615,1.0,25.8,0.00993530036255834,inf,0.9712793733681462
"frozenset({'item_C_Copiers', 'item_B_Copiers', 'item_D_Copiers'})","frozenset({'item_F_Copiers', 'item_E_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
